Player,POS,Year,BBE,AVG,50th,55th,60th,65th,70th,75th,80th,85th,90th,95th,99th,MAX
Jorge Polanco,SS,2021,285,93.49,94.6,96.12,97.3,98.66,100.2,101.3,103.28,104.4,105.5,106.98,108.63,109.9
Dansby Swanson,SS,2021,228,94.39,96.05,97.89,98.9,99.8,101.19,102.53,103.66,104.7,105.46,106.67,108.14,109.6
Andres Gimenez,2B/3B/SS,2021,60,90.18,92.85,93.55,94.84,96.55,97.76,99.3,101.2,103.62,105.42,106.52,107.89,108.3
Max Stassi,C,2021,91,95.07,98.2,100.4,101.1,101.55,102.4,103.2,103.5,104.1,105.4,106.4,107.53,107.8
Pavin Smith,1B,2021,180,92.29,95.5,96.65,97.8,98.5,99.43,100.85,101.78,102.65,105.4,107.31,109.1,110.4
Francisco Lindor,SS,2021,189,94,95.6,96.04,97.38,98.68,99.94,101.1,103.44,104.18,105.34,107.52,111.06,112.9
Alex Kirilloff,OF,2021,82,96.19,98.35,99.84,100.52,101.17,102.37,103.35,103.86,104.39,105.27,105.98,106.54,108.4
Andrew McCutchen,OF/DH,2021,186,93.42,96.3,97.55,98.6,99.63,100.45,101.3,102.1,103.83,105.2,107.2,108.82,110.8
Ty France,2B/DH,2021,225,92.47,94.2,95.52,97.18,98.48,100.32,101.3,102.42,103.84,105.2,106.2,108.83,111.1
Kris Bryant,3B,2021,212,92.84,94.05,95.91,97.4,98.7,100.3,101.33,102.98,103.8,105.19,106.29,109.07,110.4
Tim Anderson,SS,2021,173,94.82,96.9,98.8,99.5,100.18,100.74,101.4,103.1,104.02,105.18,106.34,109.22,110.2
Jesus Aguilar,1B/DH,2021,212,92.53,94.45,96.02,97.1,97.93,98.9,100.7,102.34,103.34,105.18,107.31,109.05,110.6
Kelvin Gutierrez,3B,2021,68,94.13,95.7,96.49,97.5,98.11,99.12,100,102.36,104,105.16,108.21,112.32,114.4
Enrique Hernandez,2B/OF,2021,233,93.75,95.5,96.3,97,98.18,99.34,100.5,102.06,103.62,105.16,107.64,109.27,111.3
Chris Taylor,2B/SS/OF,2021,196,92.66,94.5,96.28,98.4,99.5,101,102.55,103.4,104.4,105.15,106.7,109.22,110.7
Rougned Odor,2B,2021,105,94.26,95.1,95.94,97.52,98.62,99.28,101.1,102.26,103.44,105.14,108.4,110.98,111.4
Brandon Crawford,SS,2021,198,94.68,97.85,98.9,100.2,100.71,101.2,102.25,103.1,104.1,105.13,106.02,109.41,109.8
Brandon Marsh,OF,2021,80,96.37,98.4,99.35,99.9,100.2,100.56,101.88,102.5,104.06,105.11,106.2,108.74,108.9
Daulton Varsho,C/OF/DH,2021,108,92.1,95.55,97.44,98.6,99.21,99.97,101.13,102.86,104.19,105.1,107.56,109.97,110.9
Wil Myers,OF,2021,148,92.62,95.75,96.5,98.42,99.36,99.79,101.53,102.2,104,105.1,106.8,107.55,107.8
Alejandro Kirk,C,2021,77,94.79,96.2,98.48,100.72,101.6,102.02,102.4,102.94,104.26,105.08,106.82,108.49,109.4
Colin Moran,1B/DH,2021,105,93.54,94.7,96.3,98.42,100.16,101.76,102.1,102.62,103.72,105.06,106.04,107.28,107.8
Mike Yastrzemski,OF,2021,197,93.5,95.3,96.6,98.02,98.7,99.5,100.9,102.4,103.2,105.02,105.82,106.7,109.4
D.J. Stewart,OF,2021,89,92.45,94.1,95.56,96.96,98.16,100,101.9,102.88,104.28,105.02,108.82,110.16,110.6
Travis Shaw,1B/3B,2021,82,93.99,95.5,98.16,99.08,99.93,100.94,102.43,103.42,104.46,104.99,107.91,110.57,111.7
Paul DeJong,SS,2021,138,93.48,95.6,96.64,97.32,98.82,99.86,100.48,102.2,103.75,104.93,107.16,108.85,109.5
Niko Goodrum,2B/SS,2021,103,93.58,96.3,96.92,97.62,98.36,100.06,101.7,102.66,104.01,104.9,105.98,108.2,109.2
Nick Solak,2B/OF,2021,141,92.86,95.3,96,97.9,98.3,99.6,100.3,101.7,103.7,104.9,106.5,109.1,110.6
Ke'Bryan Hayes,3B,2021,109,93.52,94.6,95.64,97.34,98.02,100.04,101,101.92,103.44,104.9,106.74,108.98,109.7
Corey Dickerson,OF,2021,115,93.05,94.5,95.77,96.92,98.8,99.8,101.15,102.12,103.44,104.86,106.71,108.83,109.7
Kevin Pillar,OF,2021,122,91.29,93.45,94.8,95.66,96.43,96.91,98.75,100.96,102.03,104.86,107.06,109.07,110.5
Eduardo Escobar,3B,2021,240,91.76,93.55,94.4,96.1,97.6,98.6,99.9,101.2,102.85,104.82,106.71,108.78,110.8
LaMonte Wade Jr.,OF,2021,140,92.69,94.9,95.94,97.08,98.04,98.95,100.43,102.52,104.1,104.8,106.12,107.61,109.3
Tyrone Taylor,OF,2021,91,91.37,91.5,93.4,94.9,96.7,98.2,99.95,102,103.2,104.8,106.75,109.54,110.8
Billy McKinney,OF,2021,105,91.61,94,95.02,95.74,97.22,98.08,99,100.52,102.06,104.78,105.88,108.49,109.5
Brian Anderson,3B,2021,77,92.64,95,95.48,96.98,98.3,99.12,99.8,101.4,103.62,104.76,106.02,106.96,107.8
Jonah Heim,C,2021,99,92.51,95.5,97.19,97.56,98.5,100.46,101.1,102.3,103.6,104.74,105.85,108.51,109
Marwin Gonzalez,1B/2B/3B/OF,2021,79,91.99,92.3,94.28,96.14,97.54,98.62,100.45,102.94,104.23,104.72,106.62,107.73,110.3
Ramon Urias,2B/SS,2021,83,93.98,96.1,97.23,97.92,99.5,101.38,101.8,102.64,103.6,104.7,105.69,110.73,112.7
Brett Phillips,OF,2021,85,94.69,98.1,99,99.32,99.98,100.94,101.2,102.54,102.88,104.7,106.04,106.6,106.6
Jed Lowrie,2B,2021,203,94.05,95.7,97.22,98.32,99.1,100.24,101.9,102.56,103.8,104.68,106.29,109.08,109.9
Manuel Margot,OF,2021,156,92.11,93.4,95.18,96.6,97.45,99.8,100.8,102.2,103.95,104.65,106.85,108.1,108.2
Gleyber Torres,SS,2021,188,92.04,94.55,95.7,97.26,98.01,98.7,100.13,101.48,103.27,104.63,106.4,109.3,111.6
Austin Meadows,OF/DH,2021,245,91.91,92.7,94.22,95.7,97.06,98.6,99.7,101,103.14,104.6,105.76,107.47,110.3
Lourdes Gurriel Jr.,OF,2021,201,94.27,96.5,97.6,98.5,99.4,100.5,101.8,102.4,103.3,104.6,106.6,108.5,110.7
Jarred Kelenic,OF,2021,115,92.7,95.7,96.41,97.18,98.41,99.5,100.05,102.6,103.76,104.56,106.87,109.3,110.9
Will Smith,C,2021,204,93.76,96,97.5,98.1,98.8,99.72,100.73,101.74,103.56,104.54,106.1,107.29,108.6
Luis Torrens,C,2021,109,95.03,97.1,98.6,99.08,100.88,101.5,102,102.72,103.7,104.5,105.86,107.28,107.7
Wander Franco,SS,2021,117,92.57,94.3,95.46,96.7,97.4,98.3,99.5,100.9,102.16,104.48,107.42,109.39,109.6
Luis Urias,2B/3B/SS,2021,179,93.4,95.6,97.57,98.28,99.67,100.76,101.3,102.14,103.63,104.34,105.21,106.01,111.5
Yan Gomes,C,2021,149,94.2,94.8,96.14,97.26,98.04,100.12,101,102.5,103.2,104.32,105.66,107.2,107.7
Marcus Semien,SS,2021,305,93.91,95.6,96.92,97.8,99,99.88,100.9,102.22,102.84,104.3,105.8,107.2,109.5
Willi Castro,3B/SS,2021,141,88.84,90.9,91.9,92.7,94.3,96.7,99,100.8,102.5,104.3,105.1,108.26,110.6
Dylan Moore,2B/OF,2021,121,90.49,92.7,94.2,95.2,96.4,97.6,99.5,100.7,102.9,104.3,105.7,107.18,108.8
Ozzie Albies,2B,2021,309,92.27,93.5,95.1,96.3,97.06,98.56,99.8,101.2,102.48,104.3,105.92,109.77,111.4
Trent Grisham,OF,2021,173,93.12,94.3,96.3,97.74,99.06,100.14,100.8,102,102.94,104.28,106.14,108.81,109.4
Jose Altuve,2B,2021,249,92.84,94.8,96.2,97.4,98.2,99.86,101.3,102.2,102.98,104.22,106.06,108.25,108.9
Ben Gamel,OF,2021,150,92.59,93.3,94.4,96.14,96.97,99.35,100.48,101.54,102.83,104.21,105.92,107.3,108.5
Dominic Smith,1B/OF,2021,191,92.58,94.3,95.6,96.5,98.15,99.1,100.1,101.8,103,104.2,105.35,107.56,109.3
Jose Trevino,C,2021,114,92.44,94,95.2,96.66,97.35,98.66,100.4,101.72,102.66,104.2,106.04,107.59,110.2
Amed Rosario,SS,2021,191,90.8,92.6,95.05,96,97.05,97.8,99.2,100.9,102.45,104.2,106.65,108.99,111.5
Harrison Bader,OF,2021,131,91.34,93.1,94.55,95.4,97.3,98.4,99.55,101.5,103.45,104.2,107.35,109.89,110.4
Michael Brantley,OF/DH,2021,206,92.77,94.3,95.7,96.8,97.83,99.85,101,102.3,103.03,104.15,105.58,108.38,109.4
Justin Turner,3B/DH,2021,254,93.35,94.6,95.8,97.38,98.75,99.4,100.2,101.4,102.71,104.14,105.64,107.74,109.8
Elias Diaz,C,2021,138,91.39,92.45,94.07,96.84,98.2,98.88,100.15,101.68,103.2,104.13,106.98,109.19,109.5
Cody Bellinger,1B/OF,2021,128,92.16,93.4,94.77,96.12,97.56,99.16,100.4,101.4,103.29,104.13,104.86,106.7,107.4
Mookie Betts,OF,2021,218,93.32,94.75,95.84,96.72,98,99.28,100.28,101.52,103.15,104.06,105.52,106.57,107.3
Cedric Mullins II,OF,2021,249,92.4,93.6,94.46,96,97.72,98.8,99.6,100.64,101.78,104.02,105.16,107.57,108.8
Travis d'Arnuad,C/DH,2021,81,93.98,95.7,96.3,97.5,98.4,99.1,100.2,101.2,102.3,104,107.7,108.68,110.2
Willie Calhoun,OF/DH,2021,114,92.25,93.25,94.52,96.1,96.79,97.61,98.8,101.64,102.72,103.97,105.71,107.11,110.6
Chas McCormick,OF,2021,114,94.43,97.55,98.1,98.56,99.5,100.01,100.55,101.88,103.41,103.97,105.44,107.77,108.2
Jake Fraley,OF,2021,82,89.39,92.1,94.09,94.86,97.11,98.82,100.15,100.98,102.36,103.94,106.1,108.39,109.2
Buster Posey,C,2021,153,93.79,96,96.56,98.42,99.08,99.7,100.7,101.62,102.9,103.94,105.38,107.52,109.2
Jackie Bradley Jr.,OF,2021,113,93.48,93.8,95.4,96.84,97.68,99.7,100.8,101.8,102.54,103.94,106.22,108.18,108.4
Yuli Gurriel,1B,2021,236,90.99,93.1,93.9,95.4,96.28,97.9,99.1,100.5,102.35,103.9,105.13,106.73,109.1
Jake Cronenworth,1B/2B/SS,2021,240,92.19,92.25,93.69,95,96.64,98.1,99.4,100.44,102.8,103.82,107.01,109.11,110.8
Nolan Arenado,3B,2021,290,92.14,93.4,94.8,95.7,96.59,97.93,99.65,100.62,102.4,103.8,105.76,108.58,110.6
Brandon Nimmo,OF,2021,114,91.42,94.05,95.42,96.08,97.45,98.45,99.6,101.12,102.21,103.78,107.54,110.78,111.5
Cesar Hernandez,2B,2021,214,90.56,92.7,93.7,95.04,96.84,97.92,99.4,100.88,101.9,103.74,105.37,108.07,109.7
Carson Kelly,C,2021,139,92.15,93,93.98,95.8,96.7,98.06,99.85,101.6,103.03,103.7,104.94,106.92,108
Eddie Rosario,OF,2021,173,93.05,95.2,96.4,97.42,98.4,99.32,100.1,101.2,101.94,103.68,104.6,106.31,108.4
Jon Berti,2B/OF,2021,65,92.13,92.7,95.7,96.3,97.52,99.52,100.8,101.92,103.14,103.66,104.2,104.82,105.2
Steven Duggar,OF,2021,103,92.21,94.1,94.7,96.32,96.96,98.64,99.65,101.48,103.17,103.66,105.28,106.2,109.1
Akil Baddoo,OF,2021,157,91.15,93.2,95.74,96.86,97.44,98.2,99,101.28,102.46,103.64,105.32,109.13,111.8
Victor Robles,OF,2021,108,90.61,92.35,94.1,95.64,96.16,98.02,98.78,100.44,101.49,103.51,105.82,108.19,108.3
Jake Bauers,OF,2021,111,92.37,94.1,95.4,97.5,98.5,100.2,100.8,101.8,102.8,103.5,107.45,112,112.3
DJ LeMahieu,1B/2B/3B,2021,229,92.93,94.1,95.04,96.46,97.94,99.3,100.4,101.52,102.36,103.48,106.3,108.99,110.6
James McCann,C,2021,116,92.27,95.45,96.43,97.1,98.6,99.45,100.35,101.4,102.2,103.45,105.1,108.62,110
Joey Wendle,2B/3B/SS,2021,165,91.76,93.3,93.92,94.84,96.06,96.98,98.7,100.7,102.16,103.44,105.12,107.58,108.7
Tyler Stephenson,C,2021,130,93.11,94.4,95.89,96.58,97.93,99.3,100.28,100.82,101.9,103.41,104.37,106.18,106.6
Nick Ahmed,SS,2021,144,90.51,91.5,93.27,93.78,94.1,95.7,97.03,98.96,101.53,103.4,104.77,107.06,109.5
Jace Peterson,OF,2021,101,92.15,93.9,95.3,96.2,97.1,97.8,98.7,100.8,102.4,103.4,105.3,108.6,110.8
Austin Hedges,C,2021,102,88.82,90.75,92.1,94.16,95.23,96.94,97.98,99.82,101.33,103.38,104.7,105.89,110
Brian Goodwin,OF,2021,99,91.5,92.8,94.64,95.62,96.07,97.06,98.7,100.8,101.86,103.36,104.54,106.15,108.5
Guillermo Heredia,OF,2021,109,92.13,94.2,95.84,96.96,97.88,98.66,100.2,100.92,101.92,103.26,105.02,108.06,109.7
Phil Gosselin,1B/OF/DH,2021,130,90.49,93.15,94.49,95.18,96.46,98.03,98.8,100.5,102.43,103.23,105.46,109.07,110
Edmundo Sosa,"SS,2B",2021,100,90.5,90.35,93.99,94.94,96.6,97,99.3,100.46,101.93,103.22,104.71,106.7,106.9
Josh VanMeter,2B,2021,107,93.25,93.8,94.53,95.26,96.56,97.88,99.05,101.02,101.59,103.2,105.75,108.59,110
Yadiel Hernandez,OF,2021,91,95.6,98.1,98.75,99.1,99.9,101.2,101.6,101.9,102.4,103.2,104.2,105.55,106
Mark Canha,OF/DH,2021,198,92.68,94.9,95.74,96.52,97.51,99.09,100.68,101.46,102.65,103.19,105.62,106.61,107.1
Rafael Ortega,OF,2021,128,90.53,92.7,93.97,95.12,96.48,98.36,99.08,100.82,101.7,103.16,106.27,108.9,109.5
Wilmer Flores,1B/2B/DH,2021,185,92.66,94.4,95.12,96.04,96.98,98.56,99.3,100.4,101.64,103.16,104.76,106.72,107.4
Elvis Andrus,SS,2021,194,91.35,92.8,94.2,95.06,95.99,96.64,97.7,99.5,101.12,103.14,105.2,106.84,109.8
Lorenzo Cain,OF,2021,95,91.41,91.5,92.92,94.34,95.43,96.88,97.85,99.4,101.08,103.12,104.67,109.43,109.9
Andrew Benintendi,OF,2021,227,93.92,96.1,96.9,97.4,98.19,99.12,100.1,100.8,101.81,103.06,103.84,105.62,107.6
Brett Gardner,OF,2021,129,92.12,93,95.06,96.4,97.3,98.36,99.2,100.08,101.44,103.02,103.68,106.74,107.6
Yadier Molina,C,2021,185,92.13,93.9,94.82,96.08,97.52,99.02,99.6,100.5,101.6,103,105.68,107.52,108.2
Isan Diaz,2B,2021,85,91.17,92.9,94.24,94.98,96.46,97.7,98.7,100.04,101.8,102.94,104.66,105.98,109
Leury Garcia,SS,2021,134,90.22,91.85,93.68,95.38,96.54,97.22,98.33,99.72,101.61,102.91,104.2,106.33,107.1
Kolten Wong,2B,2021,181,91.46,93.7,94.4,95.8,96.2,97.8,99.7,100.9,102.1,102.9,104.2,106.22,107.1
Yoshi Tsutsugo,3B/OF/DH,2021,83,90.36,91.4,94.33,95.08,97.36,98.68,99.25,100.14,101.47,102.86,104.29,107.41,111.1
Robbie Grossman,OF,2021,257,90.74,93.2,94.7,95.66,96.4,97.52,98.1,100.04,101.18,102.78,103.82,107.92,110.9
Dylan Carlson,OF,2021,221,91.4,92.9,94.1,95,96.7,97.5,98.6,100,101.2,102.7,105,107.4,107.8
Martin Maldonado,C,2021,138,91.64,93.1,94.55,96.52,97.51,98.29,98.8,100.26,101.28,102.7,104.22,106.09,108.2
Tommy Edman,2B/3B/SS/OF,2021,266,90.54,92.35,94.23,95.3,96.55,97.85,98.85,99.7,101.05,102.65,105.08,109.92,112.9
Austin Nola,C,2021,72,93.6,94.95,96.21,97.96,98.53,99.01,99.6,99.98,100.81,102.63,103.96,107.83,107.9
Kyle Farmer,2B/SS,2021,199,91.97,93.9,94.5,95.76,96.74,97.66,98.6,99.74,101.46,102.62,104.54,106.81,107.6
Dom Nunez,C,2021,77,92.62,93.9,96.08,96.46,98.16,99.62,100.9,101.38,102.02,102.62,105.16,107.04,107.8
Donovan Solano,2B,2021,141,91.98,92.7,94.8,96.2,97.1,98.2,99.5,100.6,101.6,102.6,104.1,106.78,107.3
Jack Mayfield,3B/SS,2021,89,91.77,90.8,92.04,95.3,97.3,97.96,99.9,100.68,101.58,102.54,104.82,106.1,106.1
Pat Valaika,1B/2B/SS,2021,113,90.12,92.1,93.5,94.34,95.6,96.9,98,99.14,100.66,102.5,105.8,109.18,109.7
Adam Eaton,OF,2021,81,89.59,91.1,92.1,94.4,96.5,97.6,98.5,99.4,100.8,102.5,105.6,106.56,106.8
Christian Vazquez,C,2021,191,90.2,92.4,93.25,94.1,95.5,96.9,98.2,99.3,100.45,102.4,103.5,106.24,107.7
Jeff McNeil,2B/3B/OF,2021,149,91.62,91.7,93.04,94.08,95.36,97.2,98.4,99.6,101.26,102.36,104.66,106.64,108.3
Jurickson Profar,2B/OF,2021,129,89.5,91.4,92.34,94.1,95.06,95.76,97.6,99.16,101.06,102.34,103.8,106.58,107.6
Alex Bregman,3B,2021,150,91.96,93.85,95,96.58,97.29,98.16,99.5,100,100.7,102.32,104.96,105.95,107
Francisco Mejia,C,2021,92,90.24,90.25,91.32,93.8,95.02,97.48,98.53,99.58,101.37,102.3,103.82,106.03,106.3
J.P. Crawford,SS,2021,237,88.29,89.8,91.6,93.18,94.44,95.82,97,98.5,100.12,102.24,105.02,108.5,110.5
Charlie Culberson,1B,2021,83,88.69,91.1,92.73,93.84,94.29,95.38,96.7,98.42,99.5,102.12,103.7,105.72,105.8
Josh Rojas,2B,2021,170,91.58,92.7,93.59,94.64,95.77,98.26,99.35,100.12,101.03,102.11,102.8,104.23,104.6
Freddy Galvis,2B/SS,2021,140,90.87,92.9,94,94.6,95.24,96.65,98.18,99.3,101.05,102.1,102.92,105.66,105.9
Asdrubal Cabrera,1B/3B/DH,2021,115,92.73,94.6,95.2,95.76,97.31,97.7,98.8,100.6,101.68,102.1,103.55,105.72,106.6
Anthony Rendon,3B,2021,102,91.94,94.35,95.46,96.86,97.6,98.64,99.63,100.5,101.09,101.9,102.79,104.4,105.4
Jacob Stallings,C,2021,147,91.14,93.4,94.33,95.16,96.28,97.52,98.95,100.34,101.12,101.9,104,105.87,106.2
Garrett Hampson,2B/OF,2021,177,91.64,93.4,94.94,95.96,96.7,97.92,99.1,99.98,100.46,101.74,103.44,105.27,106.2
Hanser Alberto,2B,2021,110,90.01,92.4,93.6,94.84,95.81,96.46,97.95,99.72,100.8,101.68,104.18,106.2,106.4
Isiah Kiner-Falefa,3B/SS,2021,227,89.45,90.8,91.96,93.22,94.49,96.02,97.2,98.08,100.11,101.64,102.94,106.66,107.9
Joe Panik,2B/3B/SS,2021,90,90.62,91.35,92.48,93.18,94.5,95.3,96.1,97.72,99.13,101.51,102.27,104.24,105.4
Abraham Toro,3B/DH,2021,151,90.09,91.8,92.9,93.7,95.2,96.6,98.25,99.4,100.35,101.5,104.35,107.95,109
Harold Castro,OF,2021,141,91.51,93.6,94.4,95.4,96.3,97.3,98.3,99.2,100.1,101.5,103.4,106.92,107.2
Whit Merrifield,2B/OF,2021,301,91.37,92.9,93.8,95.2,96,97.3,98.3,99.2,100.2,101.5,103.4,105.3,107.8
Cavan Biggio,2B/3B/OF,2021,98,92.03,92.85,93.7,94.76,96.25,97.76,98.83,99.66,100.44,101.49,103.44,104.82,105.6
Kevin Kiermaier,OF,2021,102,91.27,94.35,95.61,96.06,96.57,96.9,97.6,99.28,100.4,101.46,105.05,106.8,107.3
Joshua Fuentes,1B,2021,107,89.28,89,90.26,91.8,94.1,95.84,96.55,98.24,99.73,101.44,104.23,106.84,107
Matt Duffy,3B,2021,109,89.28,91.6,93.06,94.58,95.52,96.38,96.8,97.76,99.76,101.4,102.5,105.04,107.7
Josh Harrison,2B/3B,2021,236,89.9,92.5,94.2,95.2,96.48,97.55,98.43,99.4,100.85,101.4,103.4,104,105
Miguel Rojas,SS,2021,196,88.98,89.45,90.6,91.9,94.6,96.15,97.23,99.2,100.38,101.35,103.28,106,106.4
Jose Iglesias,SS/DH,2021,210,88.93,90.1,91.6,93.26,94.49,96.3,97.28,98.32,99.83,101.31,103.36,106.86,109.2
Didi Gregorius,SS,2021,147,88.8,90.4,91.4,92.2,93.28,94.16,95.55,97.76,99.71,101.24,105.2,106.25,106.7
Omar Narvaez,C,2021,183,89.26,89.5,92,94.14,95.23,95.94,97.55,98.62,99.57,101.16,102.89,105.67,107.9
Raimel Tapia,OF/DH,2021,123,88.71,90.7,92.44,94.14,95.5,96.34,97,97.96,99.52,100.94,102.34,105.07,107.5
Tucker Barnhart,C,2021,130,91,92.75,94.39,95,95.66,96.46,97.78,98.3,99.13,100.9,102.31,103.76,104.1
Nicky Lopez,2B,2021,171,89.96,91.3,93.1,94.1,94.9,95.6,96.15,98.2,99.5,100.9,101.75,104.03,107.9
Keibert Ruiz,C,2021,36,88.4,87.6,89.28,91.7,95.05,95.85,97.58,98.1,98.7,100.55,101.68,104.89,106.5
Luis Arraez,2B,2021,200,91.1,92.4,93.15,94,94.97,96.26,97.13,98.12,98.8,99.91,100.9,103.1,104.2
Sergio Alcantara,"2B,SS",2021,67,92.33,93.6,94.79,95.66,95.99,96.58,97.45,98.28,98.95,99.8,100.51,104.5,107.4
Alcides Escobar,SS,2021,132,85.91,86.7,89.32,91.48,92.91,94,95.63,97.28,98.94,99.79,101,102.87,103.1
Yonathan Daza,OF,2021,107,87.82,88.4,90.5,91.1,92.27,94.7,95.45,96.7,97.77,99.54,100.87,102.14,102.4
Kevin Newman,2B/SS,2021,226,86.77,87.95,89.1,90.5,91.43,92.65,94.13,95.4,97.88,99.4,100.65,104.65,106.9
Myles Straw,OF,2021,251,88.05,88.6,89.6,91.4,92.5,93.5,94.65,95.9,97,98.9,100.35,103.8,107.2
Brock Holt,3B/OF,2021,84,90.05,91,91.77,92.42,94.1,94.73,95.25,96.28,97.16,98.61,102.47,104.46,105.7
Adam Frazier,2B/OF,2021,264,87.09,88.6,90.2,91.6,93.5,94.6,95.5,96.2,97.26,98.37,100.79,103.9,106.4
Andrelton Simmons,SS,2021,135,87.28,87.6,88.98,90.04,90.8,91.78,93.35,94.8,97.03,98.26,100.62,102.76,104.3
Ronald Torreyes,SS,2021,127,85.66,86.6,88.23,88.9,90.47,91.44,92.85,94.46,95.99,97.6,98.61,101.14,101.4
Tony Kemp,2B,2021,161,89.77,92.2,92.9,93.5,94.1,94.8,95.7,96.1,96.9,97.3,98.6,100.32,100.6
David Fletcher,2B/3B/SS,2021,248,83.32,84.3,85.89,87.24,88.5,89.29,91.23,92.68,93.9,95.13,97.1,98.92,103.1